week,anno,treat,weight,sul,smi 
0,1,0,4.4,35.3,16.2
0,2,0,3.2,32.3,11
0,3,0,4.4,35.2,13.4
0,4,0,5.6,37.5,14.4
0,5,0,3.6,33.4,12.3
0,6,0,3.8,32.5,13.1
0,7,0,3.4,32.4,16.6
0,8,0,5,36.2,12.5
0,9,0,3.5,32.5,12.6
0,10,0,2.8,30.6,14.6
0,11,0,5,36,14.3
0,12,0,3.2,32.1,13.4
0,13,0,5.1,36,13.1
0,14,0,4.3,34.3,15.7
0,15,0,5.9,38.1,13.5
0,16,0,4.8,35,14.7
0,17,0,3.3,31.7,13.6
0,18,0,2.6,30.7,14.4
0,19,0,4.6,35.6,14.2
0,20,0,4.1,34.5,18.8
0,21,0,3.4,33.6,18.5
0,22,0,4.4,35.4,18.4
0,23,0,5.2,35.7,17.1
0,24,0,5,37.2,14.9
0,25,0,4.7,35.2,16.5
0,26,0,3.6,34.1,17.1
0,27,0,3.6,32.9,19.5
0,28,0,4.4,35.1,16.4
0,29,0,2.6,31.4,21.7
0,30,0,4.2,35.8,19.3
0,31,0,3,32.3,14.8
0,32,0,4.9,35.1,17.2
0,33,0,3.8,32,16.5
0,34,0,2.8,30.3,13.5
0,35,0,2.7,29.3,17.1
0,36,0,5.2,36.1,15
0,37,0,6.1,37.4,15.4
0,38,0,5.7,37.8,16.5
0,39,0,7.8,40.9,14.4
0,40,0,5.1,36,16.9
0,41,0,5.7,37.2,17.2
0,42,0,6.1,38.3,19.4
0,43,0,5.6,37.2,16.7
0,44,0,3.8,34.2,15.5
0,45,0,6.6,40,14.2
0,46,0,5.3,36.2,16.4
0,47,0,6.9,40.1,13.9
0,48,0,5.1,37.3,15.9
0,49,0,4.5,34.4,17.5
0,50,0,6.6,40.5,17.1
0,51,0,4.7,35.9,13.7
0,52,0,5.4,36.4,15.1
0,53,0,4.8,36,15.2
0,54,0,4.2,35.3,14.9
0,55,0,6.3,38,18.4
0,56,0,5.7,37.9,14.3
0,57,0,6,38.6,15.6
0,58,0,3.5,33.2,19
0,59,0,4.6,35.7,14.9
0,60,0,5.2,37.5,15.1
0,61,0,4.2,35.6,15.3
0,62,0,4.4,35,13.9
0,63,0,6,37.6,14
0,64,0,4.3,35.7,11.3
0,65,0,4.2,34.6,19.9
0,66,0,5.1,36.3,15.3
0,67,0,5,36.3,17.8
0,68,0,4.4,34.2,9.8
0,69,0,4.5,35.7,15.7
0,70,0,5.5,36.5,15.1
0,71,0,4.7,36.3,12.1
0,72,0,5.3,37.5,16.7
0,73,0,4.7,35.9,14.1
0,74,0,5,36,16.9
0,1,1,5.3,35.2,13.4
0,2,1,4.1,33.9,12.4
0,3,1,6.7,39.8,11
