week,individual,treatment,weight,SVL
0,1,nb,5.9,39.0
0,2,nb,4.7,32.5
0,3,nb,5.1,33.5
0,4,nb,5.1,33.7
0,5,nb,5.0,34.1
0,6,nb,3.1,26.6
0,7,nb,2.4,27.7
0,8,nb,4.4,32.7
0,9,nb,3.4,28.8
0,10,nb,3.9,31.7
0,11,nb,4.2,33.1
0,12,nb,4.9,32.1
0,13,nb,3.0,31.3
0,14,nb,5.7,33.7
0,15,nb,4.9,32.6
0,16,nb,3.6,34.7
0,17,nb,3.8,31.6
0,18,nb,4.6,31.6
0,1,b,4.6,31.6
0,2,b,4.6,33.3
0,3,b,4.4,32.5
0,4,b,5.2,32.0
0,5,b,6.1,36.0
0,6,b,5.5,36.2
0,7,b,3.0,35.6
0,8,b,3.9,27.4
0,9,b,3.5,31.7
0,10,b,3.9,29.4
0,11,b,3.2,36.2
0,12,b,4.1,25.7
0,13,b,5.5,30.5
0,14,b,4.5,32.9
0,15,b,3.5,32.8
0,16,b,5.7,30.9
0,17,b,2.8,35.2
0,18,b,3.7,28.7
4,1,nb,8.1,31.7
4,2,nb,4.9,39.5
4,3,nb,6.0,34.3
4,4,nb,6.8,35.0
4,5,nb,9.0,36.4
4,6,nb,3.0,39.0
4,7,nb,2.6,28.2
4,8,nb,5.4,27.9
4,9,nb,4.4,33.7
4,10,nb,4.9,32.6
4,11,nb,5.8,32.8
4,12,nb,5.8,34.4
4,13,nb,3.7,34.0
4,14,nb,7.4,29.8
4,15,nb,6.1,35.4
4,16,nb,3.6,33.5
4,17,nb,5.2,33.7
4,18,nb,6.1,34.0
4,1,b,3.8,33.8
4,2,b,3.9,33.1
4,3,b,3.9,33.2
4,4,b,4.4,32.9
4,5,b,5.8,33.2
4,6,b,4.5,34.4
4,7,b,2.7,36.6
4,8,b,3.2,35.8
4,9,b,3.3,27.9
4,10,b,4.0,31.6
4,11,b,2.8,30.3
4,12,b,3.6,33.7
4,13,b,4.9,27.3
4,14,b,3.9,31.6
4,15,b,3.3,35.1
4,16,b,4.9,32.5
4,17,b,2.4,30.7
4,18,b,3.7,35.0
9,1,nb,9.9,27.1
9,2,nb,6.6,31.7
9,3,nb,6.5,44.1
9,4,nb,8.0,38.5
9,5,nb,14.6,37.6
9,6,nb,5.4,39.6
9,7,nb,3.7,48.2
9,8,nb,6.9,34.4
9,9,nb,5.6,32.2
9,10,nb,6.9,39.2
9,11,nb,10.9,35.7
9,12,nb,8.3,37.4
9,13,nb,6.3,42.9
9,14,nb,9.3,39.8
9,15,nb,9.2,35.1
9,16,nb,3.1,41.4
9,17,nb,4.9,41.8
9,18,nb,7.2,35.7
9,1,b,3.6,36.5
9,2,b,4.2,37.4
9,3,b,4.1,33.0
9,4,b,4.1,32.0
9,5,b,6.1,33.7
9,6,b,4.8,32.5
9,7,b,2.8,32.1
9,8,b,3.4,36.5
9,9,b,2.9,34.5
9,10,b,4.2,27.4
9,11,b,2.7,30.9
9,12,b,3.8,28.5
9,13,b,4.6,31.8
9,14,b,4.1,26.8
9,15,b,3.0,31.6
9,16,b,5.6,33.4
9,17,b,2.3,32.2
9,18,b,3.6,31.5
17,1,nb,9.3,34.9
17,2,nb,6.0,26.2
17,3,nb,6.1,31.8
17,4,nb,7.0,48.2
17,5,nb,13.2,42.1
17,6,nb,4.9,42.0
17,7,nb,3.3,42.8
17,8,nb,6.1,57.1
17,9,nb,5.3,39.5
17,10,nb,6.4,39.7
17,11,nb,9.8,40.1
17,12,nb,7.4,39.3
17,13,nb,5.6,42.6
17,14,nb,8.7,50.1
17,15,nb,8.6,43.4
17,16,nb,2.8,43.6
17,17,nb,4.7,49.0
17,18,nb,6.4,44.1
17,1,b,5.4,34.8
17,2,b,4.6,40.4
17,3,b,5.4,43.0
17,4,b,5.0,39.0
17,5,b,6.2,41.0
17,6,b,7.2,42.3
17,7,b,2.4,42.6
17,8,b,4.5,42.1
17,9,b,3.2,40.9
17,10,b,4.9,42.8
17,11,b,2.0,32.6
17,12,b,5.2,39.0
17,13,b,5.2,39.0
17,14,b,5.4,40.6
17,15,b,3.5,34.0
17,16,b,6.1,41.0
17,17,b,2.6,42.4
17,18,b,4.1,39.2
34,1,nb,12.1,36.4
34,2,nb,12.8,47.0
34,3,nb,6.9,41.3
34,4,nb,14.5,48.4
34,5,nb,17.8,51.6
34,1,b,7.8,39.3
34,2,b,7.8,40.2
34,3,b,10.2,44.2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
