week,id,wtnb,wtb,sulnb,sulb,bcinb,bcob,sminb,smib
0,1,4.4,5.3,35.3,35.2,0.125,0.151,16.2,13.4
0,2,3.2,4.1,32.3,33.9,0.099,0.121,11.0,12.4
0,3,4.4,6.7,35.2,39.8,0.125,0.168,13.4,11.0
0,4,5.6,3.4,37.5,30,0.149,0.113,14.4,13.4
0,5,3.6,3.9,33.4,32.9,0.108,0.119,12.3,10.8
0,6,3.8,3.5,32.5,32.3,0.117,0.108,13.1,13.6
0,7,3.4,4.8,32.4,36.2,0.105,0.133,16.6,12.1
0,8,5,4.9,36.2,36.2,0.138,0.135,12.5,11.0
0,9,3.5,5.3,32.5,35.6,0.108,0.149,12.6,12.6
0,10,2.8,3.6,30.6,32,0.092,0.113,14.6,14.1
0,11,5,3.9,36,32.6,0.139,0.12,14.3,12.6
0,12,3.2,4,32.1,34.8,0.1,0.115,13.4,12.5
0,13,5.1,3.8,36,32.9,0.142,0.116,13.1,10.9
0,14,4.3,4.7,34.3,35.3,0.125,0.133,15.7,14.6
0,15,5.9,2.8,38.1,31.4,0.155,0.089,13.5,13.3
0,16,4.8,5.2,35,37.6,0.137,0.138,14.7,14.6
0,17,3.3,4.3,31.7,34.2,0.104,0.126,13.6,14.0
0,18,2.6,3.5,30.7,34.1,0.085,0.103,14.4,22.1
0,19,4.6,2.9,35.6,30.9,0.129,0.094,14.2,15.0
0,20,4.1,4.4,34.5,35.5,0.119,0.124,18.8,10.6
0,21,3.4,4.7,33.6,36,0.101,0.131,18.5,13.1
0,22,4.4,4.2,35.4,33.3,0.124,0.126,18.4,15.2
0,23,5.2,3.2,35.7,32.1,0.146,0.1,17.1,13.5
0,24,5,3.8,37.2,31.8,0.134,0.119,14.9,12.8
0,25,4.7,5.4,35.2,36.8,0.134,0.147,16.5,11.6
0,26,3.6,3.7,34.1,33.2,0.106,0.111,17.1,16.4
0,27,3.6,4.2,32.9,33.9,0.109,0.124,19.5,17.0
0,28,4.4,3.6,35.1,32.3,0.125,0.111,16.4,15.0
0,29,2.6,4.7,31.4,35,0.083,0.134,21.7,13.2
0,30,4.2,3.3,35.8,31.6,0.117,0.104,19.3,11.2
0,31,3,4.5,32.3,35.7,0.093,0.126,14.8,11.3
0,32,4.9,2.7,35.1,30.2,0.14,0.089,17.2,11.3
0,33,3.8,5.5,32,37.8,0.119,0.146,16.5,11.5
0,34,2.8,3.8,30.3,34.3,0.092,0.111,13.5,14.2
0,35,2.7,3.2,29.3,31.8,0.092,0.101,17.1,13.8
0,36,5.2,4.2,36.1,34.4,0.144,0.122,15.0,11.4
0,37,6.1,4.6,37.4,35.2,0.163,0.131,15.4,12.9
0,38,5.7,5.3,37.8,36.4,0.151,0.146,16.5,15.1
0,39,7.8,4.1,40.9,32.6,0.191,0.126,14.4,12.0
0,40,5.1,3.9,36,34.8,0.142,0.112,16.9,11.0
0,41,5.7,4.3,37.2,34.4,0.153,0.125,17.2,12.2
0,42,6.1,4.5,38.3,35.4,0.159,0.127,19.4,10.9
0,43,5.6,5,37.2,35.6,0.151,0.14,16.7,10.2
0,44,3.8,4.7,34.2,36.4,0.111,0.129,15.5,12.2
0,45,6.6,3.8,40,34.6,0.165,0.11,14.2,10.9
0,46,5.3,5.3,36.2,36.7,0.146,0.144,16.4,14.0
0,47,6.9,3.9,40.1,33.8,0.172,0.115,13.9,14.0
0,48,5.1,4.5,37.3,36.5,0.137,0.123,15.9,10.2
0,49,4.5,5,34.4,36.3,0.131,0.138,17.5,12.9
0,50,6.6,5.4,40.5,37.7,0.163,0.143,17.1,12.4
0,51,4.7,4.9,35.9,35.6,0.131,0.138,13.7,11.6
0,52,5.4,4.5,36.4,36.5,0.148,0.123,15.1,13.3
0,53,4.8,4.6,36,34.8,0.133,0.132,15.2,12.3
0,54,4.2,4.3,35.3,35,0.119,0.123,14.9,13.7
0,55,6.3,3.8,38,33.6,0.166,0.113,18.4,14.0
0,56,5.7,3.1,37.9,31.6,0.15,0.098,14.3,14.7
0,57,6,4.5,38.6,34.9,0.155,0.129,15.6,21.3
0,58,3.5,4.1,33.2,34.3,0.105,0.12,19.0,12.7
0,59,4.6,3.5,35.7,33.2,0.129,0.105,14.9,12.6
0,60,5.2,4.6,37.5,35.7,0.139,0.129,15.1,12.3
0,61,4.2,3.4,35.6,32.6,0.118,0.104,15.3,11.4
0,62,4.4,4.4,35,33.7,0.126,0.131,13.9,12.6
0,63,6,3.8,37.6,32.7,0.16,0.116,14.0,12.4
0,64,4.3,3.3,35.7,31.1,0.12,0.106,11.3,9.5
0,65,4.2,4.1,34.6,33.8,0.121,0.121,19.9,14.6
0,66,5.1,4.8,36.3,35.5,0.14,0.135,15.3,14.0
0,67,5,4,36.3,33,0.138,0.121,17.8,12.2
0,68,4.4,4.1,34.2,34.1,0.129,0.12,9.8,10.9
0,69,4.5,3.5,35.7,33.4,0.126,0.105,15.7,16.0
0,70,5.5,5,36.5,35.6,0.151,0.14,15.1,13.6
0,71,4.7,4.3,36.3,33.7,0.129,0.128,12.1,12.3
0,72,5.3,5.2,37.5,37,0.141,0.141,16.7,13.1
0,73,4.7,4.6,35.9,34.2,0.131,0.135,14.1,11.3
0,74,5,8.8,36,41.4,0.139,0.213,16.9,12.7
4,1,5.2,5.17,38.2,35.9,0.136,0.144,12.2,12.7
4,2,7.14,3.1,39.4,30.4,0.181,0.102,15.4,12.0
4,3,7.02,4.47,39.5,35.6,0.178,0.126,13.3,13.5
4,4,7.08,5.34,40,36.5,0.177,0.146,16.1,12.0
4,5,6.31,4.33,38.3,33.4,0.165,0.13,10.8,11.7
4,6,4.97,4.36,34.7,35.3,0.143,0.124,19.7,14.2
4,7,5.92,3.83,37.3,34.4,0.159,0.111,12.3,11.9
4,8,6.38,6,38.8,38.1,0.164,0.157,13.6,13.2
4,9,7.76,6.59,41.3,40.3,0.188,0.164,15.9,11.8
4,10,6.09,5.08,38.7,35.3,0.157,0.144,13.2,11.7
4,11,9.26,4.2,44.3,33,0.209,0.127,14.6,13.0
4,12,8.1,3.55,43.7,32.9,0.185,0.108,12.5,10.4
4,13,5.1,3.48,35.8,32,0.142,0.109,16.1,13.0
4,14,6.46,3.73,39,34.3,0.166,0.109,11.4,12.7
4,15,5.92,3.61,37.3,32.6,0.159,0.111,9.6,12.1
4,16,4.77,4.85,36.8,35.5,0.13,0.137,12.4,13.4
4,17,6.04,4.72,36.7,35.7,0.165,0.132,11.5,13.5
4,18,4.91,3.58,34.1,32.8,0.144,0.109,15.2,11.1
