treatment,id,week,weight,svl
b,915154,17,,
b,915158,17,,
b,915159,17,,
b,915160,17,,
b,915163,17,,
b,915164,17,,
b,915165,17,,
b,915169,17,,
b,915171,17,,
b,915172,17,,
b,915174,17,,
b,915185,17,,
b,915187,17,,
b,915190,17,,
b,915191,17,,
b,915194,17,,
b,915197,17,,
b,915198,17,,
b,915199,17,,
b,915201,17,,
b,915202,17,,
b,915203,17,,
b,915204,17,5.2,37.54
nb,915228,17,,
nb,915234,17,,
nb,915234,17,,
nb,915235,17,,
nb,915237,17,5.9,43.76
nb,915240,17,5.9,37.8
nb,915241,17,7.4,42.8
nb,915243,17,,
nb,915244,17,,
nb,915247,17,6.88,41.85
nb,915279,17,6.1,38.31
nb,915346,17,,
nb,915349,17,,
nb,915352,17,7.2,40.88
nb,915353,17,,
nb,915353,17,,
nb,915387,17,,
nb,915388,17,4.3,34
nb,915389,17,,
b,915154,18,,
b,915158,18,6.1,38.7
b,915159,18,5.9,38
b,915160,18,,
b,915163,18,6.7,39.9
b,915164,18,,
b,915165,18,,
b,915169,18,5.5,39
b,915171,18,,
b,915172,18,4.7,37
b,915174,18,,
b,915185,18,,
b,915187,18,,
b,915190,18,4.2,34.2
b,915191,18,,
b,915194,18,7,42.4
b,915197,18,7,40.5
b,915198,18,,
b,915199,18,6.7,38.2
b,915201,18,,
b,915202,18,,
b,915203,18,,
b,915204,18,,
nb,915228,18,,
nb,915234,18,,
nb,915234,18,,
nb,915235,18,9.3,40.2
nb,915237,18,9.4,43.7
nb,915240,18,,
nb,915241,18,,
nb,915243,18,,
nb,915244,18,,
nb,915247,18,,
nb,915279,18,,
nb,915346,18,7.4,40.8
nb,915349,18,,
nb,915352,18,,
nb,915353,18,,
nb,915353,18,,
nb,915387,18,,
nb,915388,18,,
nb,915389,18,,
b,915154,19,,
b,915158,19,,
b,915159,19,,
b,915160,19,,
b,915163,19,,
b,915164,19,,
b,915165,19,,
b,915169,19,,
b,915171,19,,
b,915172,19,,
b,915174,19,,
b,915185,19,,
b,915187,19,,
b,915190,19,,
b,915191,19,,
b,915194,19,,
b,915197,19,,
b,915198,19,,
b,915199,19,,
b,915201,19,,
b,915202,19,4.8,38.1
b,915203,19,,
b,915204,19,,
nb,915228,19,,
nb,915234,19,,
nb,915234,19,,
nb,915235,19,,
nb,915237,19,,
nb,915240,19,,
nb,915241,19,,
nb,915243,19,,
nb,915244,19,11.75,47.2
nb,915247,19,,
nb,915279,19,,
nb,915346,19,,
nb,915349,19,,
nb,915352,19,,
nb,915353,19,,
nb,915353,19,,
nb,915387,19,3.9,33.1
nb,915388,19,,
nb,915389,19,4.6,34.5
b,915154,20,,
b,915158,20,6.9,41.1
b,915159,20,,
b,915160,20,7.2,41
b,915163,20,,
b,915164,20,,
b,915165,20,6.3,40.4
b,915169,20,,
b,915171,20,5.3,37.8
b,915172,20,,
b,915174,20,,
b,915185,20,,
b,915187,20,,
b,915190,20,,
b,915191,20,,
b,915194,20,,
b,915197,20,,
b,915198,20,,
b,915199,20,,
b,915201,20,5.8,38.8
b,915202,20,,
b,915203,20,,
b,915204,20,,
nb,915228,20,,
nb,915234,20,,
nb,915234,20,,
nb,915235,20,,
nb,915237,20,,
nb,915240,20,,
nb,915241,20,,
nb,915243,20,,
nb,915244,20,,
nb,915247,20,,
nb,915279,20,,
nb,915346,20,,
nb,915349,20,,
nb,915352,20,,
nb,915353,20,,
nb,915353,20,,
nb,915387,20,,
nb,915388,20,,
nb,915389,20,,
b,915154,24,12,45.7
