treatment,id,week,weight,svl
b,915204,17,5.2,37.54
nb,915237,17,5.9,43.76
nb,915240,17,5.9,37.8
nb,915241,17,7.4,42.8
nb,915247,17,6.88,41.85
nb,915279,17,6.1,38.31
nb,915352,17,7.2,40.88
nb,915388,17,4.3,34
b,915158,18,6.1,38.7
b,915159,18,5.9,38
b,915163,18,6.7,39.9
b,915169,18,5.5,39
b,915172,18,4.7,37
b,915190,18,4.2,34.2
b,915194,18,7,42.4
b,915197,18,7,40.5
b,915199,18,6.7,38.2
nb,915235,18,9.3,40.2
nb,915237,18,9.4,43.7
nb,915346,18,7.4,40.8
b,915202,19,4.8,38.1
nb,915244,19,11.75,47.2
nb,915387,19,3.9,33.1
nb,915389,19,4.6,34.5
b,915158,20,6.9,41.1
b,915160,20,7.2,41
b,915165,20,6.3,40.4
b,915171,20,5.3,37.8
b,915201,20,5.8,38.8
b,915154,24,12,45.7
b,915163,24,12.25,48.2
b,915164,24,12.5,46.2
b,915190,24,12.5,47.3
b,915191,24,10.5,46.4
b,915198,24,10.75,46.6
nb,915243,24,12,48.1
nb,915349,24,12,47.5
nb,915352,24,13.5,53.8
b,915203,28,19,54.5
nb,915228,28,22,54
b,915174,32,8.75,41.8
b,915185,32,23.25,59.2
b,915187,32,20,56.9
nb,915234,32,14.25,50.5
nb,915353,32,10.5,45.0
