recap,week,id,trt,W,SVL,BCI,SMI,
7,18,915197,b ,7.00,40.50,0.17,17.98,
4,24,915198,b,10.75,46.60,0.23,23.99,
8,18,915199,b ,6.70,38.20,0.18,18.24,
9,18,915201,b ,4.60,37.20,0.12,12.86,
2,20,915201,b,5.80,38.80,0.15,15.55,
1,19,915202,b,4.80,38.10,0.13,13.10,
5,28,915203,b,19.00,54.50,0.35,36.26,
6,17,915204,b ,5.20,37.54,0.14,14.41,
3,24,915209,b,26.00,60.90,0.43,44.40,
22,28,915228,nb,22.00,54.00,0.41,42.37,
23,36,915234,nb,23.25,59.20,0.39,40.84,
25,18,915235,nb ,9.30,40.20,0.23,24.06,
10,17,915237,nb,9.50,43.76,0.22,22.58,
16,18,915237,nb,9.40,43.70,0.22,22.37,
11,17,915240,nb,5.90,37.80,0.16,16.23,
12,17,915241,nb,7.40,42.80,0.17,17.98,
19,24,915243,nb,12.00,48.10,0.25,25.95,
18,19,915244,nb,11.75,47.20,0.25,25.89,
15,17,915247,nb,6.88,41.85,0.16,17.11,
13,17,915279,nb,6.10,38.31,0.16,16.56,
17,18,915346,nb,7.40,40.80,0.18,18.86,
20,24,915349,nb,12.00,47.50,0.25,26.27,
14,17,915352,nb,7.20,40.88,0.18,18.32,
21,24,915352,nb,13.50,53.80,0.25,26.10,
24,36,915353,nb,20.00,56.90,0.35,36.56,
